Colonial,,,,,,,,,,,,,
Savannah,Peach,Palmetto,,,,,,,,,,,
Cape Fear,Atlantic,Coastal,,,,,,,,,,,
Chesapeake,Washington,Jefferson,,,,,,,,,,,
Hudson,Erie,Ontario,,,,,,,,,,,
Delaware,Susquehanna,Allegheny,,,,,,,,,,,
Connecticut,Pilgrim,Puritan,,,,,,,,,,,
# Team format:,Conference,Division,Name,Abbr,Prestige,Rival,,,,,,,
# SEC,,,,,,,,,,,,,
TEAM,Savannah,Peach,Georgia,UGA,90,GT,,,,,,,
TEAM,Savannah,Peach,South Carolina,SCAR,85,CLEM,,,,,,,
TEAM,Savannah,Peach,Ga. Southern,GASO,75,CCAR,,,,,,,
TEAM,Savannah,Peach,SC State,SCST,50,GAST,,,,,,,
TEAM,Savannah,Peach,Kennesaw State,KNST,65,WOFF,,,,,,,
TEAM,Savannah,Peach,Charleston So.,CSOU,75,CIT,,,,,,,
TEAM,Savannah,Peach,Furman,FURM,70,MER,,,,,,,
TEAM,Savannah,Palmetto,Georgia Tech,GT,80,UGA,,,,,,,
TEAM,Savannah,Palmetto,Clemson,CLEM,95,SCAR,,,,,,,
TEAM,Savannah,Palmetto,Coastal Carolina,CCAR,70,GASO,,,,,,,
TEAM,Savannah,Palmetto,Wofford,WOFF,70,KNST,,,,,,,
TEAM,Savannah,Palmetto,Ga. State,GAST,65,SCST,,,,,,,
TEAM,Savannah,Palmetto,The Citadel,CIT,60,CSOU,,,,,,,
TEAM,Savannah,Palmetto,Mercer,MER,55,FURM,,,,,,,
# ACC,,,,,,,,,,,,,
TEAM,Cape Fear,Atlantic,North Carolina,UNC,90,DUKE,,,,,,,
TEAM,Cape Fear,Atlantic,NC State,NCST,80,WF,,,,,,,
TEAM,Cape Fear,Atlantic,East Carolina,ECU,75,WCAR,,,,,,,
TEAM,Cape Fear,Atlantic,Charlotte,CHAR,70,APST,,,,,,,
TEAM,Cape Fear,Atlantic,Campbell,CAMP,55,DAV,,,,,,,
TEAM,Cape Fear,Atlantic,Elon,ELON,60,GDWB,,,,,,,
TEAM,Cape Fear,Atlantic,NC A&T,NCAT,50,NCCN,,,,,,,
TEAM,Cape Fear,Coastal,Duke,DUKE,85,UNC,,,,,,,
TEAM,Cape Fear,Coastal,Wake Forest,WF,90,NCST,,,,,,,
TEAM,Cape Fear,Coastal,Western Carolina,WCAR,60,ECU,,,,,,,
TEAM,Cape Fear,Coastal,Appalachian St,APST,80,CHAR,,,,,,,
TEAM,Cape Fear,Coastal,Davidson,DAV,70,CAMP,,,,,,,
TEAM,Cape Fear,Coastal,Gardner-Webb,GDWB,65,ELON,,,,,,,
TEAM,Cape Fear,Coastal,NC Central,NCCN,60,NCAT,,,,,,,
# B10,,,,,,,,,,,,,
TEAM,Chesapeake,Washington,Virginia,UVA,90,VT,,,,,,,
TEAM,Chesapeake,Washington,Maryland,MAR,80,NAVY,,,,,,,
TEAM,Chesapeake,Washington,Old Dominion,ODU,70,LIB,,,,,,,
TEAM,Chesapeake,Washington,Morgan State,MGST,55,TOWS,,,,,,,
TEAM,Chesapeake,Washington,Hampton,HAMP,55,NORF,,,,,,,
TEAM,Chesapeake,Washington,James Madison,JMU,65,WM,,,,,,,
TEAM,Chesapeake,Washington,Richmond,RICH,60,VMI,,,,,,,
TEAM,Chesapeake,Jefferson,Virginia Tech,VT,85,UVA,,,,,,,
TEAM,Chesapeake,Jefferson,Navy,NAVY,75,MAR,,,,,,,
TEAM,Chesapeake,Jefferson,Liberty,LIB,65,ODU,,,,,,,
TEAM,Chesapeake,Jefferson,Towson,TOWS,60,MGST,,,,,,,
TEAM,Chesapeake,Jefferson,Norfolk St,NORF,65,HAMP,,,,,,,
TEAM,Chesapeake,Jefferson,William & Mary,WM,70,JMU,,,,,,,
TEAM,Chesapeake,Jefferson,VMI,VMI,50,RICH,,,,,,,
# Big12,,,,,,,,,,,,,
TEAM,Hudson,Ontario,Syracuse,SYR,80,BUF,,,,,,,
TEAM,Hudson,Ontario,Army,ARMY,80,ALB,,,,,,,
TEAM,Hudson,Ontario,Colgate,COLG,55,FORD,,,,,,,
TEAM,Hudson,Ontario,Columbia,COLA,75,CORN,,,,,,,
TEAM,Hudson,Ontario,Marist,MRST,70,STBR,,,,,,,
TEAM,Hudson,Ontario,Wagner,WAG,60,MON,,,,,,,
TEAM,Hudson,Ontario,Rutgers,RUT,50,PRIN,,,,,,,
TEAM,Hudson,Erie,Buffalo,BUF,75,SYR,,,,,,,
TEAM,Hudson,Erie,Albany,ALB,75,ARMY,,,,,,,
TEAM,Hudson,Erie,Fordham,FORD,65,COLG,,,,,,,
TEAM,Hudson,Erie,Cornell,CORN,75,COLA,,,,,,,
TEAM,Hudson,Erie,Stony Brook,STBR,70,MRST,,,,,,,
TEAM,Hudson,Erie,Monmouth,MON,60,WAG,,,,,,,
TEAM,Hudson,Erie,Princeton,PRIN,50,RUT,,,,,,,
# Pac 12,,,,,,,,,,,,,
TEAM,Delaware,Susquehanna,Pittsburgh,PITT,80,PST,,,,,,,
TEAM,Delaware,Susquehanna,Temple,TEM,85,VILL,,,,,,,
TEAM,Delaware,Susquehanna,Delaware,DEL,75,DLST,,,,,,,
TEAM,Delaware,Susquehanna,Bucknell,BUCK,70,DUQ,,,,,,,
TEAM,Delaware,Susquehanna,Lafayette,LAF,65,LEH,,,,,,,
TEAM,Delaware,Susquehanna,Penn,PENN,65,WVA,,,,,,,
TEAM,Delaware,Susquehanna,Robert Morris,ROBM,50,STFR,,,,,,,
TEAM,Delaware,Allegheny,Penn State,PST,95,PITT,,,,,,,
TEAM,Delaware,Allegheny,Delaware St,DLST,55,DEL,,,,,,,
TEAM,Delaware,Allegheny,Duquesne,DUQ,60,BUCK,,,,,,,
TEAM,Delaware,Allegheny,Lehigh,LEH,65,LAF,,,,,,,
TEAM,Delaware,Allegheny,St Francis,STFR,75,ROBM,,,,,,,
TEAM,Delaware,Allegheny,Villanova,VILL,70,TEM,,,,,,,
TEAM,Delaware,Allegheny,West Virginia,WVA,85,PENN,,,,,,,
# AAC,,,,,,,,,,,,,
TEAM,Connecticut,Pilgrim,Maine,MAIN,80,HOLY,,,,,,,
TEAM,Connecticut,Pilgrim,New Hampshire,NH,75,SACH,,,,,,,
TEAM,Connecticut,Pilgrim,Boston College,BC,85,MASS,,,,,,,
TEAM,Connecticut,Pilgrim,Brown,BRWN,65,DART,,,,,,,
TEAM,Connecticut,Pilgrim,Yale,YALE,70,HARV,,,,,,,
TEAM,Connecticut,Pilgrim,Connecticut,CONN,75,RI,,,,,,,
TEAM,Connecticut,Pilgrim,Vermont,VERM,50,CCON,,,,,,,
TEAM,Connecticut,Puritan,Massachusetts,MASS,75,BC,,,,,,,
TEAM,Connecticut,Puritan,Dartmouth,DART,55,BRWN,,,,,,,
TEAM,Connecticut,Puritan,Holy Cross,HOLY,75,MAIN,,,,,,,
TEAM,Connecticut,Puritan,Rhode Island,RI,75,CONN,,,,,,,
TEAM,Connecticut,Puritan,Sacred Heart,SACH,65,NH,,,,,,,
TEAM,Connecticut,Puritan,Central Conn,CCON,60,VERM,,,,,,,
TEAM,Connecticut,Puritan,Harvard,HARV,60,YALE,,,,,,,
# Coach format:,Team,Name,Age,Offense,Defense,Recruiting,Training,Off Scheme,Def Scheme,,,,
# COACH,CLEM,Nick Saban,75,80,80,80,80,Pro Style,Conservative,,,,
# Coordinator,Team,Name,Age,Playcalling,Position Bonus,Play Bonus,,,,,,,
# OC,CLEM,Mike Locksley,70,80,QB,Deep Pass,,,,,,,
# Coordinator,Team,Name,Age,Playcalling,Position Bonus,Play Bonus,,,,,,,
# DC,CLEM,Kirby Smart,70,80,LB,Inside Run,,,,,,,
