Football Championship Subdivision
BigSky,North,South,,,,
CAA,North,South,,,,
MVC,East,West,,,,
OVC,North,South,,,,
SLC,East,West,,,,
SoCon,North,South,,,,
# Team format:,Conference,Division,Name,Abbr,Prestige,Rival
# BigSky,,,,,,
TEAM,BigSky,North,Weber St,WEBR,55,SUT
TEAM,BigSky,North,Idaho St,IDST,65,NCOL
TEAM,BigSky,North,Montana St,MTST,75,SACR
TEAM,BigSky,North,Idaho,ID,80,UCDV
TEAM,BigSky,North,Montana,MONT,85,NARZ
TEAM,BigSky,North,Portland St,PORT,90,SDGO
TEAM,BigSky,North,E Washington,EWAS,95,CALP
TEAM,BigSky,South,S Utah,SUT,60,WEBR
TEAM,BigSky,South,N Colorado,NCOL,65,IDST
TEAM,BigSky,South,Sacramento St,SACR,70,MTST
TEAM,BigSky,South,UC Davis,UCDV,75,ID
TEAM,BigSky,South,N. Arizona,NARZ,80,MONT
TEAM,BigSky,South,San Diego,SDGO,90,PORT
TEAM,BigSky,South,Cal Poly,CALP,90,EWAS
# CAA,,,,,,
TEAM,CAA,North,Monmouth,MONM,55,ELON
TEAM,CAA,North,Stony Brook,STBR,60,TOWS
TEAM,CAA,North,Albany,ALB,65,WM
TEAM,CAA,North,Rhode Island,RI,70,NOVA
TEAM,CAA,North,N Hampshire,NH,75,RICH
TEAM,CAA,North,Cent Conn,CCON,85,DEL
TEAM,CAA,North,Maine,MAIN,90,JMU
TEAM,CAA,South,Elon,ELON,50,MONM
TEAM,CAA,South,Towson,TOWS,65,STBR
TEAM,CAA,South,William & Mary,WM,70,ALB
TEAM,CAA,South,Villanova,NOVA,75,RI
TEAM,CAA,South,Richmond,RICH,75,NH
TEAM,CAA,South,Delaware,DEL,80,CCON
TEAM,CAA,South,James Madison,JMU,95,MAIN
# MVC,,,,,,
TEAM,MVC,East,W Illinois,WILL,55,MOST
TEAM,MVC,East,Dayton,DAYT,60,DRAK
TEAM,MVC,East,S Illinois,SILL,65,SDST
TEAM,MVC,East,Duquesne,DUQ,70,ND
TEAM,MVC,East,Indiana St,INST,80,NIWA
TEAM,MVC,East,Illinois St,ILST,90,SD
TEAM,MVC,East,Youngstown St,YTWN,90,NDST
TEAM,MVC,West,Missouri St,MOST,55,WILL
TEAM,MVC,West,Drake,DRAK,65,DAYT
TEAM,MVC,West,S Dakota St,SDST,75,SILL
TEAM,MVC,West,N Dakota,ND,80,DUQ
TEAM,MVC,West,N Iowa,NIWA,85,INST
TEAM,MVC,West,S Dakota,SD,90,ILST
TEAM,MVC,West,N Dakota St,NDST,95,YTWN
# OVC,,,,,,
TEAM,OVC,North,Butler,BUTL,50,TNST
TEAM,OVC,North,Morehead St,MHST,55,TMAR
TEAM,OVC,North,Hampton,HAMP,60,STET
TEAM,OVC,North,Murray State,MURR,70,TTCH
TEAM,OVC,North,SE Missouri,SEMO,80,JKST
TEAM,OVC,North,E. Kentucky,EKEN,85,ASTP
TEAM,OVC,North,E. Illinois,EILL,85,KENN
TEAM,OVC,South,Tennessee St,TNST,55,BUTL
TEAM,OVC,South,UT Martin,TMAR,60,MHST
TEAM,OVC,South,Stetson,STET,70,HAMP
TEAM,OVC,South,Tenn Tech,TTCH,80,MURR
TEAM,OVC,South,Jacksonville St,JKST,85,SEMO
TEAM,OVC,South,Austin Peay,ASTP,85,EKEN
TEAM,OVC,South,Kennesaw St,KENN,95,EILL
# SLC,,,,,,
TEAM,SLC,East,Grambling St,GRMB,60,IWRD
TEAM,SLC,East,Southern,SOU,65,LAM
TEAM,SLC,East,Alcorn St,ALCN,70,CARK
TEAM,SLC,East,SE Louisiana,SELA,75,HBAP
TEAM,SLC,East,NW St,NWST,80,ABIL
TEAM,SLC,East,Nicholls,NICH,85,SFA
TEAM,SLC,East,McNeese,MCNE,90,SHST
TEAM,SLC,West,Inc Word,IWRD,50,GRMB
TEAM,SLC,West,Lamar,LAM,55,SOU
TEAM,SLC,West,C. Arkansas,CARK,60,ALCN
TEAM,SLC,West,Houston Bapt,HBAP,65,SELA
TEAM,SLC,West,Abilene Christ,ABIL,70,NWST
TEAM,SLC,West,SF Austin,SFA,75,NICH
TEAM,SLC,West,Sam Houston,SHST,85,MCNE
# SoCon,,,,,,
TEAM,SoCon,North,VMI,VMI,50,CIT
TEAM,SoCon,North,W Carolina,WCAR,60,SCST
TEAM,SoCon,North,Davidson,DAV,65,MERC
TEAM,SoCon,North,Samford,SAMF,70,CSOU
TEAM,SoCon,North,ETSU,ETSU,75,FLAM
TEAM,SoCon,North,Chattanooga,CHAT,80,WOFF
TEAM,SoCon,North,NC A&T,NCAT,90,FURM
TEAM,SoCon,South,Mercer,MERC,55,DAV
TEAM,SoCon,South,SC State,SCST,65,WCAR
TEAM,SoCon,South,The Citadel,CIT,70,VMI
TEAM,SoCon,South,Charleston So,CSOU,75,SAMF
TEAM,SoCon,South,Florida A&M,FLAM,80,ETSU
TEAM,SoCon,South,Wofford,WOFF,85,CHAT
TEAM,SoCon,South,Furman,FURM,90,NCAT
END_FILE,,,,,,
